Configuration,CLB LUTS (%),CLB REG (%),BRAM (%),Total On-Chip Power (W)
OLD 1,5.18,2.44,2.78,2.143
OLD 4,9.58,3.32,10.65,2.256
OLD 9,16.31,4.68,23.38,2.423
OLD 16,25.76,6.6,41.2,2.659
OLD 32,47.13,10.96,81.94,3.834
NEW 8x1,6.75,2.92,6.02,2.201
NEW 8x4,15.86,5.24,23.61,2.512
NEW 8x9,31.06,9.01,52.55,2.978
NEW 8x16,51.66,14.29,93.06,3.686
NEW 16x1,10.55,3.77,19.44,2.391
NEW 16x4,32.03,8.44,75.93,3.196
NEW 16x9,72.91,20.55,92.59,3.521
NEW 32x1,20.83,5.53,68.52,3.005
NEW 32x4,90.25,26.68,98.15,3.632
